KEY	UK	EN	DE	FR
ABOVE/& : SENT TO ALTAGRAM ON 21/04/2021				
Action/&ActionDisarmDescription	[ЗАСТАРІЛО] Клацніть, щоб знешкодити цю пастку.	[OBSOLETE]Click to disarm this trap.	[OBSOLETE]Click to disarm this trap.	[OBSOLETE]Click to disarm this trap.
Action/&ActionManipulateDescription	[ЗАСТАРІЛО] Клацніть, щоб взаємодіяти з цим об'єктом.	[OBSOLETE]Click to interact with this object.	[OBSOLETE]Click to interact with this object.	[OBSOLETE]Click to interact with this object.
Action/&ActionObserveDescription	[ЗАСТАРІЛО] Клацніть, щоб оглянути цей об'єкт.	[OBSOLETE]Click to examine this object.	[OBSOLETE]Click to examine this object.	[OBSOLETE]Click to examine this object.
Action/&ActionStatusAvailableDescription	Цю дію можна використати під час ходу цього персонажа.	This action is available to use during this character's turn.	Diese Aktion kann während des Zuges dieses Charakters eingesetzt werden.	This action is available to use during this character's turn.
Action/&ActionStatusCannotPerformDescription	Ця істота не може виконувати цей тип дій.	This creature cannot perform this kind of action.	Diese Kreatur kann diese Art von Aktion nicht einsetzen.	This creature cannot perform this kind of action.
Action/&ActionStatusCannotPerformDetectedDescription	Цю дію можна виконувати лише якщо персонаж не помічений. Перервіть лінію зору, щоб продовжити.	This action can only be performed if the character is not detected. Break the line of sight to proceed.	Diese Aktion kann nur ausgeführt werden, wenn der Charakter nicht entdeckt wurde. Durchbrich die Sichtlinie, um fortzufahren.	This action can only be performed if the character is not detected. Break the line of sight to proceed.
Action/&ActionStatusCannotPerformDetectedOrInBrightLightDescription	Ви не можете виконати цю дію, якщо знаходитесь у світлі або темряві поза полем зору ворога.	You cannot perform this action unless you are in dim light or darkness outside of the enemy's line of sight.	Du kannst diese Aktion nicht ausführen, wenn du dich nicht außerhalb der Sichtlinie des Gegners im dämmrigen Licht oder in Dunkelheit befindest.	You cannot perform this action unless you are in dim light or darkness outside of the enemy's line of sight.
Action/&ActionStatusEngagedDescription	Дія вже виконується. Дії одного типу (основна, бонусна тощо) не можна використовувати, поки вона не завершиться.	Action already in process. Actions of the same type (main, bonus, etc.) cannot be used until it has finished.	Aktion wird bereits ausgeführt. Aktionen desselben Typs (Hauptaktion, Bonusaktion etc.) können bis zum Abschluss der Aktion nicht eingesetzt werden.	Action already in process. Actions of the same type (main, bonus, etc.) cannot be used until it has finished.
Action/&ActionStatusIrrelevantDescription	Ця дія тут не підходить. Спробуйте щось інше.	Action irrelevant here. Try something else.	Aktion ist hier wirkungslos. Versuche etwas anderes.	Action irrelevant here. Try something else.
Action/&ActionStatusMissingFreeHandDescription	Для виконання цієї дії потрібна вільна рука.	You must have a free hand to perform this action.	Du benötigst eine freie Hand, um diese Aktion auszuführen.	You must have a free hand to perform this action.
Action/&ActionStatusNoLongerAvailableDescription	Дія недоступна - обрано дію того ж типу (основну, бонусну тощо).	Action unavailable - an action of the same type (main, bonus, etc.) has been selected.	Aktion nicht verfügbar – eine Aktion desselben Typs (Hauptaktion, Bonusaktion etc.) wurde bereits ausgewählt.	Action unavailable - an action of the same type (main, bonus, etc.) has been selected.
Action/&ActionStatusOutOfUsesDescription	Дія недоступна - закінчилися використання/боєприпаси.	Action unavailable - out of uses/ammo.	Aktion nicht verfügbar – keine Einsätze/Munition mehr.	Action unavailable - out of uses/ammo.
Action/&ActionStatusSpentDescription	Дія вже використана цим ходом.	Action already used this turn.	Aktion wurde in diesem Zug bereits eingesetzt.	Action already used this turn.
Action/&ActionStatusUnavailableDescription	Дія недоступна цим ходом.	Action unavailable this turn.	Aktion für diesen Zug nicht verfügbar.	Action unavailable this turn.
Action/&ActionTeleportDescription	Телепортуватися	Teleport	Teleportieren	Teleport
Action/&ActionTypeBonusAvailableMultipleDescription	Ця бонусна дія доступна!	This bonus action is available!	Diese Bonusaktion ist verfügbar!	This bonus action is available!
Action/&ActionTypeBonusAvailableSingleDescription	Твоя бонусна дія доступна!	Your bonus action is available!	Deine Bonusaktion ist verfügbar!	Your bonus action is available!
