MainMenu/&StartingLevelRange	{0}-{1}
Action/&ActionStatusAvailableDescription	Цю дію можна використати під час ходу цього персонажа.
Action/&ActionStatusCannotPerformDescription	Ця істота не може виконувати цей тип дій.
Action/&ActionStatusEngagedDescription	Дія вже виконується. Дії одного типу (основна, бонусна тощо) не можна використовувати, поки вона не завершиться.
Action/&ActionStatusIrrelevantDescription	Ця дія тут не підходить. Спробуйте щось інше.
Action/&ActionStatusNoLongerAvailableDescription	Дія недоступна - обрано дію того ж типу (основну, бонусну тощо).
Action/&ActionStatusOutOfUsesDescription	Дія недоступна - закінчилися використання/боєприпаси.
Action/&ActionStatusSpentDescription	Дія вже використана цим ходом.
Action/&ActionStatusUnavailableDescription	Дія недоступна цим ходом.
Action/&ActionTypeBonusAvailableMultipleDescription	Ця бонусна дія доступна!
Action/&ActionTypeBonusAvailableSingleDescription	Твоя бонусна дія доступна!
Action/&ActionTypeBonusDescription	Бонусна дія надається спеціальними здібностями та закляттями або при використанні зброї вільною рукою.
Action/&ActionTypeBonusTitle	Бонус
Action/&ActionTypeBonusUnavailableMultipleDescription	Ви використали цю бонусну дію.
Action/&ActionTypeBonusUnavailableSingleDescription	Ви використали свою бонусну дію.
Action/&ActionTypeFreeOnceAvailableMultipleDescription	Ця безкоштовна дія доступна!
Action/&ActionTypeFreeOnceAvailableSingleDescription	Твоя безкоштовна дія доступна!
Action/&ActionTypeFreeOnceDescription	Ви можете виконувати певні вільні дії під час свого ходу, такі як укладання зброї або кинути предмет.
Action/&ActionTypeFreeOnceTitle	Вільно
Action/&ActionTypeFreeOnceUnavailableMultipleDescription	Ви використали цю безкоштовну дію.
Action/&ActionTypeFreeOnceUnavailableSingleDescription	Ви використали свою безкоштовну дію.
Action/&ActionTypeMainAvailableMultipleDescription	Ця основна дія доступна!
Action/&ActionTypeMainAvailableSingleDescription	Твоя основна дія доступна!
Action/&ActionTypeMainDescription	Ваша основна дія — це головне, що ви робите під час свого ходу, наприклад, рух, атака, накладення закляття або використання здібності.
Action/&ActionTypeMainTitle	Основні дії
Action/&ActionTypeMainUnavailableMultipleDescription	Ви використали цю основну дію.
Action/&ActionTypeMainUnavailableSingleDescription	Ви використали свою основну дію.
Action/&ActionTypeMoveDescription	Основна дія руху зазвичай передбачає витрачання очок швидкості. Стрибки та сходження вимагають кидків здатностей.
Action/&ActionTypeMoveTitle	Рух
Action/&ActionTypeOtherDescription	Інші дії можна виконувати вільно або витрачаючи очки руху.
Action/&ActionTypeOtherTitle	Інше
Action/&ActionTypeReactionAvailableMultipleDescription	Ця реакція доступна!
Action/&ActionTypeReactionAvailableSingleDescription	Твоя реакція доступна!
Action/&ActionTypeReactionDescription	Реакцію можуть спровокувати певні умови, наприклад, контратака.
Action/&ActionTypeReactionTitle	Реакція
Action/&ActionTypeReactionUnavailableMultipleDescription	Ви вже використали цю реакцію.
Action/&ActionTypeReactionUnavailableSingleDescription	Ви вже використали свою реакцію.
Action/&AssignTargetDescription	Ви можете обрати нову ціль для {0}.
Action/&AssignTargetTitle	Ціль
Action/&AttackCoverFullDescription	Ціль повністю прикрита перешкодою.
Action/&AttackCoverHalfDescription	Ціль має напівприкриття ({0} КЗ).
Action/&AttackCoverThreeQuartersDescription	Ціль має укриття на три чверті ({0} КЗ).
Action/&AttackDescription	Атакувати ворожу ціль цією зброєю: {0} ({1} до влучення)\n{2}
Action/&AttackExecuteAdvantageDescription	Атакуйте ціль з перевагою!
Action/&AttackExecuteDescription	Атакуйте ціль!
Action/&AttackExecuteDisadvantageDescription	Атакувати ціль з перешкодою.
Action/&AttackIterativeDescription	Ви можете атакувати {0} рази протягом свого ходу, а також чергувати атаки між рухами.
Action/&AttackTitle	Атака
Action/&BlockAttackDescription	Накладає перешкоду на ворога, який атакує сусіднього союзника.
Action/&BlockAttackTitle	Блокувати атаку
Action/&CastDescription	Вибрати та накласти закляття.
Action/&CastRitualDescription	Накласти закляття як ритуал (триває 10 хвилин, не використовує комірку закляття).
Action/&CastRitualTitle	Ритуал
Action/&CastSpellHigherSlotAddDiceTile	Додати {0} кубики до ефекту.
Action/&CastSpellHigherSlotAddDieTile	Додати {0} кубик до ефекту.
Action/&CastSpellHigherSlotAddHPTile	Додати {0} очок здоров'я.
Action/&CastSpellHigherSlotAddItemBonusTile	Збільшити бонус предмета на {0}.
Action/&CastSpellHigherSlotAddSpellLevelPluralTile	{0} додаткових рівнів закляття.
Action/&CastSpellHigherSlotAddSpellLevelSingleTile	{0} додатковий рівень закляття.
Action/&CastSpellHigherSlotAddSummonPluralTile	Викликати {0} додаткових істот.
Action/&CastSpellHigherSlotAddSummonSingleTile	Викликати {0} додаткову істоту.
Action/&CastSpellHigherSlotAddTargetCellsTile	Ціль {0} додаткові клітинки.
Action/&CastSpellHigherSlotAddTargetPluralTile	Додати {0} цілей.
Action/&CastSpellHigherSlotAddTargetSingleTile	Додати {0} ціль.
Action/&CastSpellHigherSlotAddTempHPTile	Додати {0} тимчасові очки здоров'я.
Action/&CastSpellHigherSlotTile	Накласти закляття, використовуючи комірку {0} рівня.
Action/&CastTitle	Накласти закляття
Action/&CautiousDescription	Активувати/деактивувати режим крадькома. Скрадаючись персонаж більш не помітний і краще розуміє приховані предмети та істоти.
Action/&CautiousTitle	Крадькома
Action/&ClimbDescription	Підніматися або спускатися по поверхнях. Сходження по слизькій вертикальній поверхні також вимагає успішного кидка Сили (Атлетики).
Action/&ClimbTitle	Сходження
Action/&CunningActionDescription	Починаючи з другого рівня, ваша швидка реакція та спритність дозволяють вам швидко рухатися й діяти. Ви можете робити бонусну дію на кожному з ваших ходів у бою. Ця дія може використовуватися лише для виконання дії ривок або відступ.
Action/&CunningActionTitle	Спритна дія
Action/&DashDescription	Коли ви виконуєте дію ривок, ви отримуєте додатковий рух на поточний хід. Збільшення дорівнює вашій швидкості після застосування будь-яких модифікаторів.
Action/&DashTitle	Ривок
Action/&DisengageDescription	Якщо ви виконуєте дію "Відступ", ваш рух не спричиняє контратак до кінця ходу.
Action/&DisengageTitle	Відступ
